"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43885-41082","C","Damian","Damian Jones","Jones","14.603921329273897","51","3600","ATL@PHI","ATL","PHI","","","","",""
"43885-84697","SG","Jacob","Jacob Evans","Evans","9.560714721679688","28","3600","MIN@DAL","MIN","DAL","","","","",""
"43885-110312","SG","Tyler","Tyler Herro","Herro","21.710869830587637","46","3600","MIA@CLE","MIA","CLE","O","Foot","","",""
"43885-9451","PF","Marvin","Marvin Williams","Williams","14.309090354225852","44","3600","MIL@WAS","MIL","WAS","","","","",""
"43885-85241","PF","Johnathan","Johnathan Williams","Williams","10.236363497647373","11","3600","MIL@WAS","WAS","MIL","","","","",""
"43885-58134","SF","Justin","Justin Jackson","Jackson","10.556863223805147","51","3600","MIN@DAL","DAL","MIN","","","","",""
"43885-15727","SG","Ben","Ben McLemore","McLemore","16","56","3600","NY@HOU","HOU","NY","","","","",""
"43885-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","16.123529172411153","51","3600","MIL@WAS","MIL","WAS","","","","",""
"43885-15771","C","Gorgui","Gorgui Dieng","Dieng","20.157143106265945","49","3600","MEM@LAC","MEM","LAC","","","","",""
"43885-80813","PG","Frank","Frank Ntilikina","Ntilikina","15.53","50","3600","NY@HOU","NY","HOU","GTD","Groin","","",""
"43885-80825","PF","Isaiah","Isaiah Hartenstein","Hartenstein","12.565217391304348","23","3600","NY@HOU","HOU","NY","","","","",""
"43885-18435","SF","Alfonzo","Alfonzo McKinnie","McKinnie","9.67297280801309","37","3500","MIA@CLE","CLE","MIA","O","Heel","","",""
"43885-111620","PG","Nigel","Nigel Williams-Goss","Williams-Goss","2.388888888888889","9","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-96775","PF","Norvel","Norvel Pelle","Pelle","11.005882711971507","17","3500","ATL@PHI","PHI","ATL","","","","",""
"43885-111622","SG","Garrison","Garrison Mathews","Mathews","8.787500381469727","16","3500","MIL@WAS","WAS","MIL","","","","",""
"43885-101387","PG","Gabe","Gabe Vincent","Vincent","5.775000095367432","4","3500","MIA@CLE","MIA","CLE","","","","",""
"43885-85521","SG","Theo","Theo Pinson","Pinson","9.644828007139008","29","3500","ORL@BKN","BKN","ORL","","","","",""
"43885-117275","PG","Jeremiah","Jeremiah Martin","Martin","3.8499999046325684","2","3500","ORL@BKN","BKN","ORL","","","","",""
"43885-117274","PF","Chris","Chris Silva","Silva","8.355263157894736","38","3500","MIA@CLE","MIA","CLE","","","","",""
"43885-23589","SG","Michael","Michael Frazier","Frazier","2.887500047683716","8","3500","NY@HOU","HOU","NY","","","","",""
"43885-117289","PF","Juwan","Juwan Morgan","Morgan","2.9866666158040363","15","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-117290","SG","Charles","Charles Brown","Brown","3.6799999237060548","10","3500","ATL@PHI","ATL","PHI","","","","",""
"43885-117292","PG","Matt","Matt Mooney","Mooney","3.8499999046325684","2","3500","MIA@CLE","CLE","MIA","","","","",""
"43885-12340","PF","Patrick","Patrick Patterson","Patterson","9.019565084706182","46","3500","MEM@LAC","LAC","MEM","","","","",""
"43885-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","15.272221883138021","18","3500","ORL@BKN","ORL","BKN","O","Knee","","",""
"43885-15417","SF","Solomon","Solomon Hill","Hill","13.50800048828125","50","3500","MIA@CLE","MIA","CLE","","","","",""
"43885-111672","SF","William","William Howard","Howard","1.4500000476837158","2","3500","NY@HOU","HOU","NY","","","","",""
"43885-117819","PG","Jared","Jared Harper","Harper","0.6666666666666666","3","3500","PHO@UTA","PHO","UTA","O","Wrist","","",""
"43885-9787","SF","DeMarre","DeMarre Carroll","Carroll","6.081250190734863","16","3500","NY@HOU","HOU","NY","","","","",""
"43885-117306","SF","Vic","Vic Law","Law","0","3","3500","ORL@BKN","ORL","BKN","","","","",""
"43885-117818","C","Tariq","Tariq Owens","Owens","3.5333334604899087","3","3500","PHO@UTA","PHO","UTA","","","","",""
"43885-66109","PF","Skal","Skal Labissiere","Labissiere","16.35757538766572","33","3500","ATL@PHI","ATL","PHI","O","Knee","","",""
"43885-16448","PF","Frank","Frank Kaminsky","Kaminsky","21.378124237060547","32","3500","PHO@UTA","PHO","UTA","O","Kneecap","","",""
"43885-9799","SG","Wesley","Wesley Matthews","Matthews","14.11320754716981","53","3500","MIL@WAS","MIL","WAS","","","","",""
"43885-12359","SG","Evan","Evan Turner","Turner","9.978947689658717","19","3500","MIN@DAL","MIN","DAL","GTD","Not injury related","","",""
"43885-12365","PF","Ed","Ed Davis","Davis","8.12","25","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-17491","SF","James","James Ennis","Ennis","12.1499997652494","52","3500","ORL@BKN","ORL","BKN","","","","",""
"43885-111702","C","Kyle","Kyle Alexander","Alexander","0","0","3500","MIA@CLE","MIA","CLE","O","Knee","","",""
"43885-117338","PF","Kenny","Kenny Wooten","Wooten","0","0","3500","NY@HOU","NY","HOU","","","","",""
"43885-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","7.797916412353516","48","3500","MIA@CLE","CLE","MIA","","","","",""
"43885-23156","PF","Georges","Georges Niang","Niang","9.644000244140624","50","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-23676","SG","Damyean","Damyean Dotson","Dotson","11.973912778108016","46","3500","NY@HOU","NY","HOU","","","","",""
"43885-41597","PF","Johnathan","Johnathan Motley","Motley","4.3076923076923075","13","3500","MEM@LAC","LAC","MEM","","","","",""
"43885-15501","SG","Allen","Allen Crabbe","Crabbe","9.564864699904984","37","3500","MIN@DAL","MIN","DAL","GTD","Personal","","",""
"43885-9870","SG","Kyle","Kyle Korver","Korver","11.785106902426861","47","3500","MIL@WAS","MIL","WAS","O","Back","","",""
"43885-9873","C","Robin","Robin Lopez","Lopez","11.048076923076923","52","3500","MIL@WAS","MIL","WAS","","","","",""
"43885-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","14.484782343325408","46","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-58519","SG","Gary","Gary Payton II","Payton II","14.879166920979818","24","3500","MIL@WAS","WAS","MIL","","","","",""
"43885-113305","SG","Josh","Josh Reaves","Reaves","0","2","3500","MIN@DAL","DAL","MIN","","","","",""
"43885-113306","SG","Marko","Marko Guduric","Guduric","8.808571079799107","35","3500","MEM@LAC","MEM","LAC","","","","",""
"43885-14498","PG","Kyrie","Kyrie Irving","Irving","46.129998779296876","20","3500","ORL@BKN","BKN","ORL","O","Shoulder","","",""
"43885-70824","C","Ante","Ante Zizic","Zizic","10.147058823529411","17","3500","MIA@CLE","CLE","MIA","","","","",""
"43885-49336","SG","DeAndre'","DeAndre' Bembry","Bembry","16.62558196311773","43","3500","ATL@PHI","ATL","PHI","O","Abdomen","","",""
"43885-84672","SG","Zhaire","Zhaire Smith","Smith","2.914285659790039","7","3500","ATL@PHI","PHI","ATL","","","","",""
"43885-84674","SF","Kevin","Kevin Knox","Knox","13.176363858309658","55","3500","NY@HOU","NY","HOU","","","","",""
"43885-84677","PG","Jerome","Jerome Robinson","Robinson","7.676595484956782","47","3500","MIL@WAS","WAS","MIL","","","","",""
"43885-58574","PF","Jonah","Jonah Bolden","Bolden","4.828571319580078","7","3500","PHO@UTA","PHO","UTA","","","","",""
"43885-84686","SG","Elie","Elie Okobo","Okobo","10.151063959649269","47","3500","PHO@UTA","PHO","UTA","GTD","Ankle","","",""
"43885-16081","PF","Khem","Khem Birch","Birch","13.407894736842104","38","3500","ORL@BKN","ORL","BKN","","","","",""
"43885-84696","PG","Jevon","Jevon Carter","Carter","10.845238095238095","42","3500","PHO@UTA","PHO","UTA","","","","",""
"43885-84698","SF","Dzanan","Dzanan Musa","Musa","8.362857491629464","35","3500","ORL@BKN","BKN","ORL","","","","",""
"43885-84700","PF","Rodions","Rodions Kurucs","Kurucs","9.257575757575758","33","3500","ORL@BKN","BKN","ORL","","","","",""
